SAFX01;(*);1;Código da Empresa;COD_EMPRESA;3;A;;;;;;;;;;
SAFX01;(*);2;Código do Estabelecimento;COD_ESTAB;6;A;;;;;;;;;;
SAFX01;(*);3;Data da Operação;DATA_OPERACAO;8;N;;;;;;;;;;
SAFX01;(*);4;Conta Débito/Crédito do Lançamento;CONTA_DEB_CRED;70;A;;;;;;;;;;
SAFX01;(*);5;Débito/Crédito do Lançamento Contábil;IND_DEB_CRE;1;A;;;;;;;;;;
SAFX01;(*);6;Arquivamento;ARQUIVAMENTO;50;A;;;;;;;;;;
SAFX01;(*);7;Valor do Lançamento Contábil;VLR_LANCTO;017V002;N;;;;;;;;;;
SAFX01;;8;Conta Contra Partida;CONTRA_PART;70;A;;;;;;;;;;
SAFX01;;9;Centro de Custo;CENTRO_CUSTO;50;A;;;;;;;;;;
SAFX01;;10;Centro de Despesa;CENTRO_DESPESA;20;A;;;;;;;;;;
SAFX01;;11;Histórico Padrão;HISTPADRAO;6;A;;;;;;;;;;
SAFX01;;12;Código da Operação;COD_OPERACAO;6;A;;;;;;;;;;
SAFX01;;13;Histórico Complementar;HISTCOMPL;255;A;;;;;;;;;;
SAFX01;;14;Código do Índice de Conversão;COD_INDICE_CONV;10;A;;;;;;;;;;
SAFX01;;15;Valor do Lançamento Convertido;VLR_OPER_IND;016V004;N;;;;;;;;;;
SAFX01;;16;Número do Lançamento;NUM_LANCAMENTO;40;A;;;;;;;;;;
SAFX01;;17;Tipo de Lançamento;TIPO_LANCTO;1;A;;;;;;;;;;
SAFX01;;18;Operação com Participante Vinculado - Indicador da Pessoa Física/Jurídica;IND_PFJ_EMPRESA;1;A;;;;;;;;;;
SAFX01;;19;Operação com Participante Vinculado - Código da Pessoa Física/Jurídica;COD_PFJ_EMPRESA;14;A;;;;;;;;;;
SAFX01;;20;Código do Serviço;COD_SERVICO;4;A;;;;;;;;;;
SAFX01;;21;Identificador do Lançamento Resumido ;IDENTIF_LANC_RES;128;A;;;;;;;;;;
SAFX01;;22;Código do Sistema de Origem ;COD_SISTEMA_ORIG;4;A;;;;;;;;;;
SAFX01;;23;Identificador do Saldo Mensal ;IDENTIF_SALDO;128;A;;;;;;;;;;
SAFX01;;24;Reservado 1;DSC_RESERVADO1;017V002;N;;;;;;;;;;
SAFX01;;25;Reservado 2;DSC_RESERVADO2;017V002;N;;;;;;;;;;
SAFX01;;26;Reservado 3;DSC_RESERVADO3;017V002;N;;;;;;;;;;
SAFX01;;27;Reservado 4;DSC_RESERVADO4;50;A;;;;;;;;;;
SAFX01;;28;Reservado 5;DSC_RESERVADO5;50;A;;;;;;;;;;
SAFX01;;29;Reservado 6;DSC_RESERVADO6;50;A;;;;;;;;;;
SAFX01;;30;Reservado 7;DSC_RESERVADO7;50;A;;;;;;;;;;
